event_id,exp_num,event_num,twine_state,cont2stemtip_dist_cm,cont2suptip_dist_cm,R_eff_mN,support_mass_label,m_sup_g,Lsup_cm,dsup_cm
0,1,1,0.0,5.357776463630987,2.474866942637493,0.43551352060908377,light,0.08,25.0,0.1
1,1,2,1.0,1.259609698403312,9.092253104671792,0.6166806691449814,light,0.08,25.0,0.1
2,1,3,0.0,4.01833234772324,8.879361324659964,0.6085366837857668,light,0.08,25.0,0.1
3,1,4,1.0,4.719101123595506,6.608515671200473,0.533399035369775,light,0.08,25.0,0.1
4,2,1,0.0,4.796099290780142,2.393617021276596,0.4339482352941177,light,0.08,25.0,0.1
5,2,2,0.0,4.973404255319149,1.551418439716312,0.41836219281663517,light,0.08,25.0,0.1
6,3,1,0.0,0.9080459770114943,4.701149425287356,0.48327859569648923,light,0.08,25.0,0.1
7,3,2,0.0,0.7241379310344828,5.885057471264368,0.5132110643415514,light,0.08,25.0,0.1
8,3,3,0.0,0.8850574712643678,7.03448275862069,0.5460460652591171,light,0.08,25.0,0.1
9,3,4,0.0,2.03448275862069,6.471264367816092,0.5294478908188586,light,0.08,25.0,0.1
10,3,5,0.0,1.793103448275862,7.528735632183908,0.5614934210526317,light,0.08,25.0,0.1
11,3,6,0.0,3.436781609195402,7.068965517241379,0.547096153846154,light,0.08,25.0,0.1
12,3,7,0.0,3.758620689655172,7.35632183908046,0.5560065146579805,light,0.08,25.0,0.1
13,3,8,0.0,3.59494640122511,8.24655436447166,0.5855511882998169,light,0.08,25.0,0.1
14,3,9,1.0,5.3292496171516,10.9686064318529,0.6991465211459712,light,0.08,25.0,0.1
15,4,1,0.0,1.377314814814815,1.736111111111111,0.42168358208955226,light,0.08,25.0,0.1
16,4,2,0.0,1.539351851851852,6.631944444444444,0.5340793950850662,light,0.08,25.0,0.1
17,4,3,0.0,0.8796296296296295,10.40509259259259,0.6721522601110229,light,0.08,25.0,0.1
18,4,4,1.0,1.956018518518518,11.79398148148148,0.7428431200701139,light,0.08,25.0,0.1
19,5,1,0.0,2.869955156950672,1.804932735426009,0.42293475108748185,light,0.08,25.0,0.1
20,5,2,0.0,0.3026905829596412,4.159192825112108,0.47071113501882733,light,0.08,25.0,0.1
21,5,3,1.0,1.468609865470852,7.10762331838565,0.5482781954887218,light,0.08,25.0,0.1
22,5,4,0.0,3.105381165919282,7.309417040358744,0.554532319391635,light,0.08,25.0,0.1
23,5,5,0.0,6.40134529147982,6.47982062780269,0.5296924939467312,light,0.08,25.0,0.1
24,5,6,0.0,3.329596412556054,9.932735426008968,0.6510803571428572,light,0.08,25.0,0.1
25,5,7,1.0,4.327354260089685,5.504484304932735,0.5031926394479586,light,0.08,25.0,0.1
26,6,1,0.0,1.658932714617169,2.807424593967517,0.4420397281756404,light,0.08,25.0,0.1
27,6,2,0.0,4.037122969837587,3.433874709976798,0.45488004303388924,light,0.08,25.0,0.1
28,6,3,0.0,4.535962877030162,4.327146171693736,0.47453535353535353,light,0.08,25.0,0.1
29,6,4,0.0,5.417633410672853,4.466357308584686,0.4777525423728814,light,0.08,25.0,0.1
30,6,5,0.0,4.559164733178654,6.067285382830626,0.5181507352941177,light,0.08,25.0,0.1
31,6,6,0.0,5.208816705336426,6.160092807424594,0.5207032019704434,light,0.08,25.0,0.1
32,6,7,0.0,5.614849187935034,5.638051044083526,0.5066638705811863,light,0.08,25.0,0.1
33,6,8,0.0,7.923433874709977,5.649651972157772,0.5069676258992806,light,0.08,25.0,0.1
34,10,1,1.0,3.251625812906453,,inf,stable,inf,inf,0.8
35,11,1,1.0,2.137173171655931,,inf,stable,inf,inf,0.8
36,12,1,,6.76581483033096,,inf,stable,inf,inf,0.8
37,13,1,1.0,4.655396618985695,,inf,stable,inf,inf,0.8
38,14,1,1.0,7.701863354037267,,inf,stable,inf,inf,0.8
39,1,1,0.0,0.2071465561885034,,inf,stable,inf,inf,0.8
40,1,2,1.0,2.084412221646815,,inf,stable,inf,inf,0.8
41,2,1,1.0,1.894674904383642,,inf,stable,inf,inf,0.8
42,3,1,0.0,0.267314702308627,,inf,stable,inf,inf,0.8
43,3,2,0.0,0.157958687727825,,inf,stable,inf,inf,0.8
44,3,3,0.0,0.157958687727825,,inf,stable,inf,inf,0.8
45,3,4,1.0,0.9963547995139733,,inf,stable,inf,inf,0.8
46,4,1,0.0,1.27280441238863,,inf,stable,inf,inf,0.8
47,4,2,1.0,3.627492575307595,,inf,stable,inf,inf,0.8
48,5,1,1.0,1.068211068211068,,inf,stable,inf,inf,0.8
49,6,1,1.0,1.415701415701416,,inf,stable,inf,inf,0.8
50,7,1,1.0,7.844104588061174,,inf,stable,inf,inf,0.8
51,8,1,1.0,6.683911019141231,,inf,stable,inf,inf,0.8
52,9,1,,2.879581151832461,,inf,stable,inf,inf,0.8
